title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,142,Crime; Drama,Frank Darabont; ,Stephen King,Tim Robbins; Morgan Freeman; Bob Gunton,9.3,"1,551,051"
The Godfather,175,Crime; Drama,Francis Ford Coppola; ,Mario Puzo,Marlon Brando; Al Pacino; James Caan,9.2,"1,061,779"
The Godfather: Part II,202,Crime; Drama,Francis Ford Coppola; ,Francis Ford Coppola,Al Pacino; Robert De Niro; Robert Duvall,9.0,"719,034"
The Dark Knight,152,Action; Crime; Drama,Christopher Nolan; ,Jonathan Nolan,Christian Bale; Heath Ledger; Aaron Eckhart,9.0,"1,526,290"
12 Angry Men,96,Crime; Drama,Sidney Lumet; ,Reginald Rose,Henry Fonda; Lee J. Cobb; Martin Balsam,8.9,"402,193"
Schindler's List,195,Biography; Drama; History,Steven Spielberg; ,Thomas Keneally,Liam Neeson; Ralph Fiennes; Ben Kingsley,8.9,"789,682"
Pulp Fiction,154,Crime; Drama,Quentin Tarantino; ,Quentin Tarantino,John Travolta; Uma Thurman; Samuel L. Jackson,8.9,"1,208,819"
"Il buono, il brutto, il cattivo",161,Western,Sergio Leone; ,Luciano Vincenzoni,Clint Eastwood; Eli Wallach; Lee Van Cleef,8.9,"463,254"
The Lord of the Rings: The Return of the King,201,Adventure; Fantasy,Peter Jackson; ,J.R.R. Tolkien,Elijah Wood; Viggo Mortensen; Ian McKellen,8.9,"1,112,312"
Fight Club,139,Drama,David Fincher; ,Chuck Palahniuk,Brad Pitt; Edward Norton; Helena Bonham Carter,8.9,"1,224,486"
The Lord of the Rings: The Fellowship of the Ring,178,Adventure; Fantasy,Peter Jackson; ,J.R.R. Tolkien,Elijah Wood; Ian McKellen; Orlando Bloom,8.8,"1,136,797"
Star Wars: Episode V - The Empire Strikes Back,124,Action; Adventure; Fantasy,Irvin Kershner; ,Leigh Brackett,Mark Hamill; Harrison Ford; Carrie Fisher,8.8,"727,693"
Forrest Gump,142,Drama; Romance,Robert Zemeckis; ,Winston Groom,Tom Hanks; Robin Wright; Gary Sinise,8.8,"1,124,516"
Inception,148,Action; Mystery; Sci-Fi,Christopher Nolan; ,Christopher Nolan,Leonardo DiCaprio; Joseph Gordon-Levitt; Ellen Page,8.8,"1,325,491"
One Flew Over the Cuckoo's Nest,133,Drama,Milos Forman; ,Lawrence Hauben,Jack Nicholson; Louise Fletcher; Michael Berryman,8.7,"626,527"
The Lord of the Rings: The Two Towers,179,Adventure; Fantasy,Peter Jackson; ,J.R.R. Tolkien,Elijah Wood; Ian McKellen; Viggo Mortensen,8.7,"1,003,300"
Goodfellas,146,Biography; Crime; Drama,Martin Scorsese; ,Nicholas Pileggi,Robert De Niro; Ray Liotta; Joe Pesci,8.7,"667,556"
The Matrix,136,Action; Sci-Fi,Andy Wachowski; Lana Wachowski; ,Andy Wachowski,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss,8.7,"1,112,879"
Star Wars: Episode IV - A New Hope,121,Action; Adventure; Fantasy,George Lucas; ,George Lucas,Mark Hamill; Harrison Ford; Carrie Fisher,8.7,"797,874"
Shichinin no samurai,207,Drama,Akira Kurosawa; ,Akira Kurosawa,Toshirô Mifune; Takashi Shimura; Keiko Tsushima,8.7,"212,260"
