2014/11/01,"  185"
2014/11/02,"  174"
2014/11/03,"  153"
2014/11/04,"  109"
2014/11/05,"   95"
2014/11/06,"   82"
2014/11/07,"   98"
2014/11/08,"  129"
2014/11/09,"  128"
2014/11/10,"  126"
2014/11/11,"  129"
2014/11/12,"  122"
2014/11/13,"  133"
2014/11/14,"  124"
2014/11/15,"  110"
2014/11/16,"   92"
2014/11/17,"  123"
2014/11/18,"   83"
2014/11/19,"   91"
2014/11/20,"   80"
2014/11/21,"   90"
2014/11/22,"  118"
2014/11/23,"  135"
2014/11/24,"  113"
2014/11/25,"   91"
2014/11/26,"   64"
2014/11/27,"   88"
2014/11/28,"   95"
2014/11/29,"   49"
2014/11/30,"   31"
2014/12/01,"   24"
2014/12/02,"   14"
2014/12/03,"   10"
2014/12/04,"   15"
2014/12/05,"   53"
2014/12/06,"   91"
2014/12/07,"   67"
2014/12/08,"   49"
2014/12/09,"   49"
2014/12/10,"   99"
2014/12/11,"   77"
2014/12/12,"   94"
2014/12/13,"   68"
2014/12/14,"   48"
2014/12/15,"   79"
2014/12/16,"   78"
2014/12/17,"  106"
2014/12/18,"  125"
2014/12/19,"  124"
2014/12/20,"   91"
2014/12/21,"  103"
2014/12/22,"  128"
2014/12/23,"  128"
2014/12/24,"  100"
2014/12/25,"   79"
2014/12/26,"   52"
2014/12/27,"   29"
2014/12/28,"   34"
2014/12/29,"   56"
2014/12/30,"   65"
2014/12/31,"   76"
